City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yamada,JP,2022-12-24 18:34:58,39.4667,141.95,34.45,76,12,7.16
68,Strelka,RU,2022-12-24 18:34:58,58.0728,93.0344,7.72,96,100,5.41
69,Gafanha Da Encarnacao,PT,2022-12-24 18:34:58,40.6181,-8.733,63.05,89,100,18.21
70,Avera,US,2022-12-24 18:34:59,33.194,-82.5271,25.56,25,53,16.55
71,Taseyevo,RU,2022-12-24 18:34:59,57.2169,94.8978,5.02,94,100,3.76
72,Lebu,CL,2022-12-24 18:26:31,-37.6167,-73.65,68.11,52,0,24.67
73,Alekseyevskoye,RU,2022-12-24 18:35:00,55.3071,50.1135,32.11,87,100,18.57
74,Srandakan,ID,2022-12-24 18:35:00,-7.9386,110.2506,76.84,88,100,8.41
75,Kununurra,AU,2022-12-24 18:35:01,-15.7667,128.7333,76.98,94,40,5.75
76,Bonnyville,CA,2022-12-24 18:30:27,54.2668,-110.735,1.2,93,100,7.36
77,Digha,IN,2022-12-24 18:35:02,21.6833,87.55,69.55,73,0,8.59
78,Okha,RU,2022-12-24 18:35:02,53.5739,142.9478,28.09,94,100,13.42
79,Atuona,PF,2022-12-24 18:35:02,-9.8,-139.0333,78.04,72,1,17.38
80,Katherine,AU,2022-12-24 18:35:03,-14.4667,132.2667,79.12,89,80,5.75
81,Faanui,PF,2022-12-24 18:35:03,-16.4833,-151.75,80.62,73,13,14.97
82,Xining,CN,2022-12-24 18:35:04,36.6167,101.7667,19.04,52,100,3.33
83,Saint-Philippe,RE,2022-12-24 18:35:05,-21.3585,55.7679,78.39,81,97,7.81
84,Poum,NC,2022-12-24 18:35:05,-20.2333,164.0167,80.78,78,21,10.56
85,Humaita,BR,2022-12-24 18:35:05,-7.5061,-63.0208,86.0,71,81,2.68
86,Bredasdorp,ZA,2022-12-24 18:26:24,-34.5322,20.0403,65.01,64,100,16.24
87,Ellisras,ZA,2022-12-24 18:35:06,-23.6649,27.7443,78.1,24,100,1.63
88,Hurghada,EG,2022-12-24 18:33:18,27.2574,33.8129,66.24,55,20,5.75
89,Arrecife,ES,2022-12-24 18:35:07,28.963,-13.5477,71.58,73,0,2.3
90,Sao Felix Do Xingu,BR,2022-12-24 18:36:08,-6.6447,-51.995,82.33,75,45,3.15
91,New Norfolk,AU,2022-12-24 18:27:47,-42.7826,147.0587,53.71,71,13,3.13
92,Nikolskoye,RU,2022-12-24 18:29:13,59.7035,30.7861,28.29,76,99,8.95
93,Obo,CF,2022-12-24 18:36:08,5.3998,26.4869,75.2,36,7,3.0
94,Airai,TL,2022-12-24 18:29:10,-8.9266,125.4092,61.16,95,100,2.37
95,Butaritari,KI,2022-12-24 18:26:25,3.0707,172.7902,80.67,80,75,18.84
96,Tiksi,RU,2022-12-24 18:27:55,71.6872,128.8694,-1.14,80,100,3.71
97,Pimenta Bueno,BR,2022-12-24 18:36:09,-11.6725,-61.1936,83.44,80,68,5.46
98,Camocim,BR,2022-12-24 18:36:10,-2.9022,-40.8411,83.84,62,44,15.52
99,Nabire,ID,2022-12-24 18:36:10,-3.3667,135.4833,77.38,86,100,3.18
100,Hambantota,LK,2022-12-24 18:28:59,6.1241,81.1185,79.14,100,40,5.75
101,Nome,US,2022-12-24 18:30:34,64.5011,-165.4064,10.47,56,75,11.5
102,Nisia Floresta,BR,2022-12-24 18:36:11,-6.0911,-35.2086,86.81,59,11,11.21
103,Cap Malheureux,MU,2022-12-24 18:27:53,-19.9842,57.6142,79.47,73,3,5.01
104,Acapulco,MX,2022-12-24 18:36:11,16.8634,-99.8901,84.02,61,40,9.22
105,Nhulunbuy,AU,2022-12-24 18:36:12,-12.2333,136.7667,81.21,89,100,8.05
106,Chaoyang,CN,2022-12-24 18:36:12,41.5703,120.4586,13.75,32,0,3.31
107,Novyy Urengoy,RU,2022-12-24 18:36:13,66.0833,76.6333,-2.42,100,92,6.85
108,Kayerkan,RU,2022-12-24 18:36:13,69.3497,87.7602,-13.49,75,95,6.82
109,Miraflores,MX,2022-12-24 18:36:14,19.2167,-98.8083,64.98,42,84,4.14
110,Vaini,TO,2022-12-24 18:36:14,-21.2,-175.2,78.96,83,75,5.75
111,Kruisfontein,ZA,2022-12-24 18:36:14,-34.0033,24.7314,65.88,80,100,14.0
112,Umba,RU,2022-12-24 18:36:15,66.6871,34.3429,7.54,97,100,7.92
113,Saskylakh,RU,2022-12-24 18:26:20,71.9167,114.0833,-21.75,98,64,6.35
114,Mataura,NZ,2022-12-24 18:36:15,-46.1927,168.8643,53.4,97,100,3.87
